x,y,z,pd
-7.500000,-1.000000,0.000000,1.643855
-7.500000,-0.500000,0.000000,1.590285
-7.500000,0.000000,0.000000,2.302888
-7.500000,0.500000,0.000000,3.187276
-7.500000,1.000000,0.000000,3.064530
-7.500000,1.500000,0.000000,2.130408
-7.500000,2.000000,0.000000,1.772886
-7.500000,2.500000,0.000000,2.036551
-7.500000,3.000000,0.000000,2.815918
-7.500000,3.500000,0.000000,1.521068
-7.500000,4.000000,0.000000,1.303006
-7.500000,4.500000,0.000000,1.830934
-7.500000,5.000000,0.000000,2.770561
-7.500000,5.500000,0.000000,1.352766
-7.500000,6.000000,0.000000,0.850715
-7.500000,6.500000,0.000000,0.948738
-7.500000,7.000000,0.000000,1.332934
-7.500000,7.500000,0.000000,1.260357
-7.500000,8.000000,0.000000,1.467484
-7.500000,8.500000,0.000000,1.539768
-7.500000,9.000000,0.000000,1.240324
-7.500000,9.500000,0.000000,1.473047
-7.500000,10.000000,0.000000,1.730349
-7.500000,10.500000,0.000000,2.208865
-7.500000,11.000000,0.000000,2.618250
-7.500000,11.500000,0.000000,3.083342
-7.500000,12.000000,0.000000,2.927485
-7.500000,12.500000,0.000000,0.260000
-7.000000,-14.000000,0.000000,2.011948
-7.000000,-13.500000,0.000000,2.092506
-7.000000,-13.000000,0.000000,1.462294
-7.000000,-12.500000,0.000000,1.358030
-7.000000,-12.000000,0.000000,1.431436
-7.000000,-11.500000,0.000000,1.317381
-7.000000,-11.000000,0.000000,0.850251
-7.000000,-10.500000,0.000000,1.122174
-7.000000,-10.000000,0.000000,1.610590
-7.000000,-9.500000,0.000000,1.401199
-7.000000,-9.000000,0.000000,0.851661
-7.000000,-8.500000,0.000000,0.846307
-7.000000,-8.000000,0.000000,0.846734
-7.000000,-7.500000,0.000000,0.877518
-7.000000,-7.000000,0.000000,1.040244
-7.000000,-6.500000,0.000000,1.174633
-7.000000,-6.000000,0.000000,1.233309
-7.000000,-5.500000,0.000000,1.143050
-7.000000,-5.000000,0.000000,0.975259
-7.000000,-4.500000,0.000000,0.957554
-7.000000,-4.000000,0.000000,0.891617
-7.000000,-3.500000,0.000000,0.982273
-7.000000,-3.000000,0.000000,0.914869
-7.000000,-2.500000,0.000000,1.805744
-7.000000,-2.000000,0.000000,3.282394
-7.000000,-1.500000,0.000000,2.840117
-7.000000,-1.000000,0.000000,1.510954
-7.000000,-0.500000,0.000000,1.449245
-7.000000,0.000000,0.000000,2.018790
-7.000000,0.500000,0.000000,1.976671
-7.000000,1.000000,0.000000,1.646620
-7.000000,1.500000,0.000000,1.617843
-7.000000,2.000000,0.000000,1.682632
-7.000000,2.500000,0.000000,1.789056
-7.000000,3.000000,0.000000,2.924271
-7.000000,3.500000,0.000000,1.794429
-7.000000,4.000000,0.000000,1.474242
-7.000000,4.500000,0.000000,2.101698
-7.000000,5.000000,0.000000,2.230565
-7.000000,5.500000,0.000000,1.133500
-7.000000,6.000000,0.000000,0.929741
-7.000000,6.500000,0.000000,0.915837
-7.000000,7.000000,0.000000,1.163748
-7.000000,7.500000,0.000000,1.218266
-7.000000,8.000000,0.000000,1.248663
-7.000000,8.500000,0.000000,1.262466
-7.000000,9.000000,0.000000,1.061338
-7.000000,9.500000,0.000000,1.344207
-7.000000,10.000000,0.000000,1.522396
-7.000000,10.500000,0.000000,2.153589
-7.000000,11.000000,0.000000,2.272614
-7.000000,11.500000,0.000000,1.727777
